Event #,ET,IT (rv),ST (rv),TM,SS ,#WL,AT,DT,#INSYS,TIME between events,,,,Fraction of time busy,Average in the system,,,,,,
34,Departure,0.88,1.40,0.00,0,0,,,0,0.00,,,,,,,,,,,
35,Departure,10.74,1.78,0.00,0,0,,,0,0.00,,,,,,,,,,,
36,Departure,3.25,2.86,0.00,0,0,,,0,0.00,,,,,,,,,,,
37,Departure,6.90,1.14,0.00,0,0,,,0,0.00,,,,,,,,,,,
38,Departure,0.24,7.27,0.00,0,0,,,0,0.00,,,,,,,,,,,
39,Departure,16.45,1.93,0.00,0,0,,,0,0.00,,,,,,,,,,,
40,Departure,6.86,0.55,0.00,0,0,,,0,0.00,,,,,,,,,,,
41,Departure,2.18,4.73,0.00,0,0,,,0,0.00,,,,,,,,,,,
42,Departure,0.21,1.23,0.00,0,0,,,0,0.00,,,,,,,,,,,
43,Departure,0.11,0.89,0.00,0,0,,,0,0.00,,,,,,,,,,,
44,Departure,0.11,4.65,0.00,0,0,,,0,0.00,,,,,,,,,,,
45,Departure,10.53,13.42,0.00,0,0,,,0,0.00,,,,,,,,,,,
46,Departure,3.89,4.69,0.00,0,0,,,0,0.00,,,,,,,,,,,
47,Departure,10.11,0.78,0.00,0,0,,,0,0.00,,,,,,,,,,,
48,Departure,2.12,8.04,0.00,0,0,,,0,0.00,,,,,,,,,,,
49,Departure,1.78,2.61,0.00,0,0,,,0,0.00,,,,,,,,,,,
50,Departure,0.84,0.84,0.00,0,0,,,0,0.00,,,,,,,,,,,
51,Departure,7.95,0.61,0.00,0,0,,,0,0.00,,,,,,,,,,,
52,Departure,1.07,1.00,0.00,0,0,,,0,0.00,,,,,,,,,,,
53,Departure,0.28,5.10,0.00,0,0,,,0,0.00,,,,,,,,,,,
54,Departure,1.01,2.86,0.00,0,0,,,0,0.00,,,,,,,,,,,
55,Departure,11.22,4.61,0.00,0,0,,,0,0.00,,,,,,,,,,,
56,Departure,2.08,1.68,0.00,0,0,,,0,0.00,,,,,,,,,,,
57,Departure,4.71,0.36,0.00,0,0,,,0,0.00,,,,,,,,,,,
58,Departure,1.96,11.74,0.00,0,0,,,0,0.00,,,,,,,,,,,
59,Departure,3.97,0.43,0.00,0,0,,,0,0.00,,,,,,,,,,,
60,Departure,1.82,8.26,0.00,0,0,,,0,0.00,,,,,,,,,,,
61,Departure,0.63,2.57,0.00,0,0,,,0,0.00,,,,,,,,,,,
62,Departure,0.22,6.72,0.00,0,0,,,0,0.00,,,,,,,,,,,
63,Departure,4.22,1.30,0.00,0,0,,,0,0.00,,,,,,,,,,,
64,Departure,6.30,1.15,0.00,0,0,,,0,0.00,,,,,,,,,,,
65,Departure,4.42,4.09,0.00,0,0,,,0,0.00,,,,,,,,,,,
66,Departure,2.36,2.76,0.00,0,0,,,0,0.00,,,,,,,,,,,
67,Departure,27.16,6.24,0.00,0,0,,,0,0.00,,,,,,,,,,,
68,Departure,2.75,10.87,0.00,0,0,,,0,0.00,,,,,,,,,,,
69,Departure,1.35,5.88,0.00,0,0,,,0,0.00,,,,,,,,,,,
70,Departure,1.26,5.81,0.00,0,0,,,0,0.00,,,,,,,,,,,
71,Departure,2.59,2.54,0.00,0,0,,,0,0.00,,,,,,,,,,,
72,Departure,3.19,0.20,0.00,0,0,,,0,0.00,,,,,,,,,,,
73,Departure,6.06,2.34,0.00,0,0,,,0,0.00,,,,,,,,,,,
74,Departure,5.37,4.66,0.00,0,0,,,0,0.00,,,,,,,,,,,
75,Departure,7.11,6.16,0.00,0,0,,,0,0.00,,,,,,,,,,,
76,Departure,3.82,0.64,0.00,0,0,,,0,0.00,,,,,,,,,,,
77,Departure,4.59,0.05,0.00,0,0,,,0,0.00,,,,,,,,,,,
78,Departure,1.39,1.78,0.00,0,0,,,0,0.00,,,,,,,,,,,
79,Departure,0.41,12.36,0.00,0,0,,,0,0.00,,,,,,,,,,,
80,Departure,0.99,0.27,0.00,0,0,,,0,0.00,,,,,,,,,,,
81,Departure,1.42,1.18,0.00,0,0,,,0,0.00,,,,,,,,,,,
82,Departure,3.41,0.93,0.00,0,0,,,0,0.00,,,,,,,,,,,
83,Departure,2.44,4.64,0.00,0,0,,,0,0.00,,,,,,,,,,,
84,Departure,2.77,2.66,0.00,0,0,,,0,0.00,,,,,,,,,,,
85,Departure,6.46,16.05,0.00,0,0,,,0,0.00,,,,,,,,,,,
86,Departure,4.65,3.49,0.00,0,0,,,0,0.00,,,,,,,,,,,
87,Departure,2.79,1.07,0.00,0,0,,,0,0.00,,,,,,,,,,,
88,Departure,12.83,8.05,0.00,0,0,,,0,0.00,,,,,,,,,,,
89,Departure,6.30,4.76,0.00,0,0,,,0,0.00,,,,,,,,,,,
90,Departure,5.82,0.03,0.00,0,0,,,0,0.00,,,,,,,,,,,
91,Departure,1.80,5.43,0.00,0,0,,,0,0.00,,,,,,,,,,,
92,Departure,3.54,2.23,0.00,0,0,,,0,0.00,,,,,,,,,,,
93,Departure,16.22,1.48,0.00,0,0,,,0,0.00,,,,,,,,,,,
94,Departure,0.63,5.33,0.00,0,0,,,0,0.00,,,,,,,,,,,
95,Departure,4.58,1.30,0.00,0,0,,,0,0.00,,,,,,,,,,,
96,Departure,8.94,0.10,0.00,0,0,,,0,0.00,,,,,,,,,,,
97,Departure,1.88,3.14,0.00,0,0,,,0,0.00,,,,,,,,,,,
98,Departure,16.63,1.46,0.00,0,0,,,0,0.00,,,,,,,,,,,
99,Departure,11.87,4.68,0.00,0,0,,,0,0.00,,,,,,,,,,,
100,Departure,1.64,0.57,0.00,0,0,,,0,0.00,,,,,,,,,,,
